'Weeks'	40	41	42	43	44	45	46	47	48	49	50	51	52	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20
'Region 10'	835	1054	1605	1750	2572	3827	4367	4388	4056	4080	4481	4500	4525	4567	4582	4586	4590	4593	4595	4601	4601	4603	4603	4680	4680	4686	4687	4689	4690	4693	4693	4693	4693
'Nation'	12578	17108	24971	32814	40819	46920	53291	55179	56410	58381	60113	60403	60847	61332	61608	62197	63079	63350	63628	63798	64355	65379	65424	66050	66589	66449	66605	66682	66754	66797	66827	66848	66873
'Region 4'	2003	2537	2797	3090	3457	4080	5808	6016	6135	6432	7002	7035	7103	7326	7510	7567	8344	8548	8586	8723	8951	9048	9238	9527	9950	9723	9813	9855	9881	9898	9901	9901	9901
'Region 5'	1673	2618	3805	5119	6416	7140	8073	8414	8846	9058	9247	9276	9333	9356	9361	9371	9375	9391	9400	9272	9435	9440	9450	9474	9479	9486	9495	9503	9516	9517	9517	9518	9520
'Region 6'	1365	1495	1723	1977	2079	2181	2580	2653	2687	3192	3307	3312	3462	3475	3492	3896	3914	3719	3854	3893	4016	4874	4883	5069	5137	5169	5185	5188	5200	5200	5202	5210	5230
'Region 7'	1161	1641	2323	2677	2954	3049	3162	3196	3239	3252	3265	3277	3292	3299	3312	3323	3332	3339	3359	3385	3399	3423	3221	3247	3261	3281	3292	3300	3300	3301	3302	3306	3306
'Region 1'	142	268	582	867	1224	2327	2557	2702	2731	3213	3249	3304	3320	3320	3349	3353	3357	3367	3373	3386	3390	3391	3398	3402	3402	3402	3403	3404	3409	3409	3414	3419	3419
'Region 2'	40	91	177	349	451	623	852	956	1039	1201	1302	1340	1424	1484	1514	1559	1575	1681	1722	1738	1751	1777	1789	1794	1797	1801	1809	1809	1811	1823	1823	1824	1825
'Region 3'	1764	2694	5449	6494	8110	9042	9446	9838	10396	10441	10501	10514	10524	10554	10593	10610	10624	10627	10642	10655	10661	10670	10680	10686	10697	10708	10714	10716	10719	10720	10724	10724	10725
'Region 8'	1614	2547	3732	5053	7736	8640	9173	9374	9480	9575	9671	9709	9723	9766	9684	9698	9710	9810	9820	9827	9829	9830	9837	9845	9851	9858	9863	9870	9880	9884	9886	9889	9889
'Region 9'	1981	2163	2778	5438	5820	6011	7273	7642	7801	7937	8088	8136	8141	8175	8211	8234	8258	8275	8277	8318	8322	8323	8325	8326	8335	8335	8344	8348	8348	8352	8365	8364	8365
